attributes.Ambience.divey,attributes.Music.live,attributes.Happy Hour,attributes.Ambience.trendy,attributes.Delivery,attributes.Smoking,hours.Wednesday.close,attributes.Wi-Fi,open,attributes.Order at Counter,city,attributes.Wheelchair Accessible,attributes.BYOB,attributes.Ambience.casual,hours.Friday.open,attributes.Ambience.upscale,stars,latitude,attributes.Outdoor Seating,type,attributes.Alcohol,attributes.Caters,attributes.Ambience.classy,attributes.By Appointment Only,attributes.Parking.lot,business_id,attributes.Ambience.touristy,attributes.Good For.latenight,attributes.Corkage,hours.Tuesday.open,attributes.Good For.dinner,categories,attributes.Waiter Service,hours.Monday.open,name,attributes.Coat Check,attributes.Parking.street,longitude,hours.Monday.close,attributes.BYOB/Corkage,hours.Tuesday.close,attributes.Ambience.intimate,attributes.Music.background_music,hours.Saturday.close,attributes.Price Range,attributes.Good For.breakfast,attributes.Parking.garage,attributes.Music.karaoke,attributes.Good for Kids,attributes.Parking.validated,attributes.Good For Dancing,review_count,attributes.Music.dj,hours.Thursday.open,attributes.Has TV,hours.Sunday.close,state,attributes.Accepts Credit Cards,hours.Friday.close,attributes.Good For.lunch,attributes.Good For Kids,attributes.Parking.valet,attributes.Ambience.hipster,attributes.Take-out,full_address,attributes.Good For.brunch,hours.Thursday.close,hours.Wednesday.open,attributes.Noise Level,hours.Sunday.open,attributes.Attire,attributes.Good For.dessert,attributes.Drive-Thru,attributes.Good For Groups,neighborhoods,attributes.Music.video,attributes.Ambience.romantic,attributes.Takes Reservations,attributes.Music.jukebox,hours.Saturday.open
,,,,,,17:00,,True,,Phoenix,,,,08:00,,3.5,33.499313,,business,,,,True,,vcNAWiLM4dR7D2nwwJ7nCA,,,,08:00,,"['Doctors', 'Health & Medical']",,08:00,"Eric Goldberg, MD",,,-111.983758,17:00,,17:00,,,,,,,,,,,9,,08:00,,,AZ,,17:00,,,,,,"4840 E Indian School Rd
Ste 101
Phoenix, AZ 85018",,17:00,08:00,,,,,,,[],,,,,
,,True,,,,,,True,,Dravosburg,,,,,,3.5,40.350519,False,business,,,,,,UsFtqoBl7naz8AVUBZMjQQ,,,,,,['Nightlife'],,,Clancy's Pub,,,-79.88693,,,,,,,1,,,,,,,4,,,,,PA,True,,,,,,,"202 McClure St
Dravosburg, PA 15034",,,,,,,,,True,[],,,,,
,,,,,,,,False,,Bethel Park,,,,,,2.5,40.3568962,,business,,,,,,cE27W9VPgO88Qxe4ol6y_g,,,,,,"['Active Life', 'Mini Golf', 'Golf']",,,Cool Springs Golf Center,,,-80.01591,,,,,,,,,,,True,,,5,,,,,PA,,,,,,,,"1530 Hamilton Rd
Bethel Park, PA 15234",,,,,,,,,,[],,,,,
,,,,,,21:00,,True,,Pittsburgh,,,,10:00,,3.5,40.35762,,business,,,,,,HZdLhv6COCleJMo7nPl-RA,,,,10:00,,"['Shopping', 'Home Services', 'Internet Service Providers', 'Mobile Phones', 'Professional Services', 'Electronics']",,10:00,Verizon Wireless,,,-80.05998,21:00,,21:00,,,21:00,,,,,,,,3,,10:00,,18:00,PA,,21:00,,,,,,"301 S Hills Vlg
Pittsburgh, PA 15241",,21:00,10:00,,11:00,,,,,[],,,,,10:00
False,,False,False,False,no,19:00,no,True,,Braddock,,,False,10:00,False,4.5,40.408735,False,business,full_bar,True,False,,False,mVHrayjG3uZ_RLHkLj-AMg,False,False,,10:00,False,"['Bars', 'American (New)', 'Nightlife', 'Lounges', 'Restaurants']",True,,Emil's Lounge,False,False,-79.8663507,,,19:00,False,,16:00,1,False,False,,True,False,False,11,False,10:00,True,,PA,True,20:00,False,,False,False,True,"414 Hawkins Ave
Braddock, PA 15104",False,19:00,10:00,average,,casual,False,,True,[],,False,False,,10:00
False,,True,False,False,outdoor,,free,True,,Carnegie,,,True,,False,4.0,40.415517,True,business,full_bar,False,False,,True,KayYbHCt-RkbGcPdGOThNg,False,False,,,True,"['Bars', 'American (Traditional)', 'Nightlife', 'Restaurants']",True,,Alexion's Bar & Grill,False,False,-80.067534,,,,False,,,1,False,False,,False,False,True,15,False,,True,,PA,True,,False,,False,False,True,"141 Hawthorne St
Greentree
Carnegie, PA 15106",False,,,loud,,casual,False,,True,['Greentree'],,False,False,,
,,,,,,,,True,,Carnegie,,,,,,1.5,40.394588,,business,,,,,,b12U9TFESStdy7CsTtcOeg,,,,,,"['Auto Repair', 'Automotive']",,,Flynn's E W Tire Service Center,,,-80.0844539,,,,,,,,,,,,,,5,,,,,PA,,,,,,,,"718 Hope Hollow Rd
Carnegie, PA 15106",,,,,,,,,,[],,,,,
,,,,,,,,True,,Carnegie,,,,,,4.0,40.4054039,,business,,,,,,Sktj1eHQFuVa-M4bgnEh8g,,,,,,"['Active Life', 'Mini Golf']",,,Forsythe Miniature Golf & Snacks,,,-80.0762665,,,,,,,,,,,True,,,4,,,,,PA,,,,,,,,"920 Forsythe Rd
Carnegie
Carnegie, PA 15106",,,,,,,,,,['Carnegie'],,,,,
,,,,,,,,True,,Carnegie,,,,,,2.5,40.406324,,business,,,,,,3ZVKmuK2l7uXPE6lXY4Dbg,,,,,,"['Home Services', 'Contractors']",,,Quaker State Construction,,,-80.090357,,,,,,,,,,,,,,3,,,,,PA,,,,,,,,"8 Logan St
Carnegie
Carnegie, PA 15106",,,,,,,,,,['Carnegie'],,,,,
,,,,False,,02:00,,True,,Carnegie,True,,,08:00,,3.5,40.3877323,False,business,none,,,,False,wJr6kSA5dchdgOdwH6dZ2w,,False,,08:00,False,"['Burgers', 'Breakfast & Brunch', 'American (Traditional)', 'Restaurants']",True,08:00,Kings Family Restaurant,,False,-80.0928745,02:00,,02:00,,,02:00,1,False,False,,True,False,,8,,08:00,,02:00,PA,True,02:00,False,,False,,True,"2100 Washington Pike
Carnegie, PA 15106",False,02:00,08:00,,08:00,casual,False,False,True,[],,,False,,08:00
,,,,,,,,True,,Carnegie,True,,,,,3.5,40.3877323,,business,,,,,True,yXuao0pFz1AxB21vJjDf5w,,,,,,"['Food', 'Grocery']",,,Shop N'save,,False,-80.0928745,,,,,,,3,,False,,,False,,3,,,,,PA,True,,,,False,,,"2100 Washington Pike
Carnegie, PA 15106",,,,,,,,,,[],,,,,
False,False,,False,False,no,,,True,,Carnegie,False,,False,,False,4.0,40.3964688,False,business,full_bar,False,False,,False,fNGIbpazjTRdXgwRY_NIXA,False,False,,,False,"['Bars', 'American (Traditional)', 'Nightlife', 'Lounges', 'Restaurants']",True,,Rocky's Lounge,False,False,-80.0849416,,,,False,True,,2,False,False,False,True,False,False,5,False,,True,,PA,True,,False,,False,False,False,"1201 Washington Ave
Carnegie, PA 15106",False,,,average,,casual,False,,True,[],False,False,False,False,
True,,,False,False,,14:30,no,True,True,Carnegie,False,False,True,06:00,False,4.5,40.3967441,False,business,none,True,False,,True,b9WZJp5L1RZr4F1nxclOoQ,False,False,False,06:00,False,"['Breakfast & Brunch', 'Restaurants']",True,06:00,Gab & Eat,,False,-80.0847998,14:30,yes_free,14:30,False,,12:30,1,True,False,,True,False,,38,,06:00,True,12:30,PA,False,14:30,False,True,False,False,True,"1073 Washington Ave
Carnegie, PA 15106",False,14:30,06:00,average,07:00,casual,False,,False,[],,False,False,,06:00
